,SPECIES,COUNTRY,REGION,PROCESSING_METHOD,AROMA,FLAVOR,AFTERTASTE,ACIDITY,BODY,BALANCE,UNIFORMITY,CLEAN_CUP,SWEETNESS,CUPPER_POINTS,TOTAL_CUP_POINTS,MOISTURE,COLOR,UNIT_OF_MEASUREMENT,ALTITUDE_LOW_METERS,ALTITUDE_HIGH_METERS,ALTITUDE_MEAN_METERS,COUNTRY_CODE,LATITUDE,LONGITUDE
0,Arabica,Ethiopia,guji-hambela,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,8.75,90.58,0.12,Green,m,1950.0,2200.0,2075.0,ETH,8,38
1,Arabica,Ethiopia,guji-hambela,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,89.92,0.12,Green,m,1950.0,2200.0,2075.0,ETH,8,38
2,Arabica,Ethiopia,oromia,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,8.67,89.0,0.11,Green,m,1800.0,2200.0,2000.0,ETH,8,38
3,Arabica,Ethiopia,guji-hambela,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,88.83,0.12,Green,m,1950.0,2200.0,2075.0,ETH,8,38
4,Arabica,Ethiopia,oromia,None,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,9.0,88.67,0.03,None,m,1570.0,1700.0,1635.0,ETH,8,38
5,Arabica,Ethiopia,oromiya,None,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,8.67,88.42,0.03,None,m,1570.0,1700.0,1635.0,ETH,8,38
6,Arabica,Ethiopia,"snnp/kaffa zone,gimbowereda",Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,8.5,88.25,0.1,Green,m,1795.0,1850.0,1822.5,ETH,8,38
7,Arabica,Ethiopia,oromia,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,8.58,88.08,0.1,None,m,1855.0,1955.0,1905.0,ETH,8,38
8,Arabica,Ethiopia,oromiya,None,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10.0,9.33,8.5,87.83,0.05,None,m,1570.0,1700.0,1635.0,ETH,8,38
9,Arabica,Ethiopia,yirgacheffe,None,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10.0,9.33,8.83,87.33,0.05,None,m,,,,ETH,8,38
10,Arabica,Ethiopia,gedio,Natural / Dry,8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,10.0,8.33,87.25,0.0,None,m,1700.0,2000.0,1850.0,ETH,8,38
11,Arabica,Ethiopia,sidamo,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,8.08,87.08,0.11,Bluish-Green,m,,,,ETH,8,38
12,Arabica,Ethiopia,sidamo,None,7.83,8.25,8.08,8.17,8.17,8.17,10.0,10.0,10.0,8.25,86.92,0.05,None,m,,,,ETH,8,38
13,Arabica,Ethiopia,oromia,Natural / Dry,8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,10.0,8.08,86.25,0.1,Green,m,1750.0,1800.0,1775.0,ETH,8,38
14,Arabica,Ethiopia,yirgacheffe,None,7.92,7.75,8.08,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86.25,0.1,None,m,,,,ETH,8,38
15,Arabica,Ethiopia,sidamo,None,7.75,8.08,8.0,8.25,8.0,8.0,10.0,10.0,10.0,7.92,86.0,0.01,None,m,1500.0,2000.0,1750.0,ETH,8,38
16,Arabica,Ethiopia,oromia,Washed / Wet,7.83,8.08,7.92,8.08,8.0,7.92,10.0,10.0,10.0,8.0,85.83,0.1,Green,m,1800.0,2000.0,1900.0,ETH,8,38
17,Arabica,Ethiopia,addis ababa,Natural / Dry,7.83,8.0,7.83,8.17,7.92,8.0,10.0,10.0,10.0,8.0,85.75,0.09,None,m,,,,ETH,8,38
18,Arabica,Ethiopia,oromia,Natural / Dry,7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,10.0,8.0,85.5,0.12,Green,m,1800.0,2000.0,1900.0,ETH,8,38
19,Arabica,Ethiopia,oromia,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,10.0,10.0,10.0,8.08,85.42,0.1,Green,m,1800.0,2000.0,1900.0,ETH,8,38
20,Arabica,Ethiopia,yirgacheffe,None,7.83,7.83,7.92,8.08,7.75,7.83,10.0,10.0,10.0,8.08,85.33,0.05,None,m,,,,ETH,8,38
21,Arabica,Ethiopia,yirgacheffe,None,7.92,7.83,7.75,8.33,7.75,7.75,10.0,10.0,10.0,8.0,85.33,0.1,None,m,,,,ETH,8,38
22,Arabica,Ethiopia,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",Natural / Dry,7.75,8.0,7.58,8.0,8.0,7.92,10.0,10.0,10.0,7.83,85.08,0.11,Green,m,,,,ETH,8,38
23,Arabica,Ethiopia,aricha,Natural / Dry,8.42,8.0,7.42,8.0,7.92,7.92,9.33,10.0,10.0,8.08,85.08,0.1,Green,m,1700.0,1700.0,1700.0,ETH,8,38
24,Arabica,Ethiopia,sidamo,None,7.67,8.0,7.83,8.0,7.92,7.83,10.0,10.0,10.0,7.83,85.08,0.0,None,m,,,,ETH,8,38
25,Arabica,Ethiopia,sidamo,None,7.75,7.92,7.83,7.92,7.75,7.67,10.0,10.0,10.0,8.0,84.83,0.1,None,m,1500.0,2000.0,1750.0,ETH,8,38
26,Arabica,Ethiopia,sidamo,None,7.42,7.92,7.92,8.0,7.83,7.83,10.0,10.0,10.0,7.92,84.83,0.1,None,m,1500.0,2000.0,1750.0,ETH,8,38
27,Arabica,Ethiopia,yirgacheffe,Washed / Wet,8.08,7.83,7.75,7.83,7.58,7.67,10.0,10.0,10.0,7.92,84.67,0.1,None,m,1900.0,1900.0,1900.0,ETH,8,38
28,Arabica,Ethiopia,sidamo,None,7.42,7.75,7.75,8.0,8.0,7.92,10.0,10.0,10.0,7.83,84.67,0.2,None,m,1500.0,2000.0,1750.0,ETH,8,38
29,Arabica,Ethiopia,limu,None,7.5,7.75,7.83,7.92,7.92,7.75,10.0,10.0,10.0,7.75,84.42,0.2,None,m,,,,ETH,8,38
30,Arabica,Ethiopia,limu,None,7.75,7.75,7.92,7.75,7.5,7.92,10.0,10.0,10.0,7.75,84.33,0.0,None,ft,1097.28,1889.76,1493.52,ETH,8,38
31,Arabica,Ethiopia,snnprg; kafa; telo woreda; shada kebele,Natural / Dry,7.5,7.92,7.58,7.83,7.75,7.83,10.0,10.0,10.0,7.75,84.17,0.1,Green,m,1545.0,1668.0,1606.5,ETH,8,38
32,Arabica,Ethiopia,"ethiopia, sidamo",Natural / Dry,7.92,7.92,7.83,8.0,7.92,7.92,10.0,10.0,8.67,7.92,84.08,0.09,None,m,1800.0,1800.0,1800.0,ETH,8,38
33,Arabica,Ethiopia,sidamo,Natural / Dry,7.83,7.75,7.67,7.75,7.33,7.75,10.0,10.0,10.0,7.92,84.0,0.11,Green,m,1800.0,1800.0,1800.0,ETH,8,38
34,Arabica,Ethiopia,sidamo,Natural / Dry,7.75,7.75,7.5,7.58,7.67,7.92,10.0,10.0,10.0,7.83,84.0,0.09,Green,m,1550.0,1550.0,1550.0,ETH,8,38
35,Arabica,Ethiopia,oromia,Natural / Dry,7.75,7.75,7.67,7.67,7.58,7.67,10.0,10.0,10.0,7.75,83.83,0.12,Green,m,1650.0,1703.0,1676.5,ETH,8,38
36,Arabica,Ethiopia,sidamo,None,7.58,7.83,7.58,8.0,7.83,7.5,10.0,10.0,10.0,7.5,83.83,0.1,None,m,,,,ETH,8,38
