COUNTRY,COUNTRY_CODE,LATITUDE,LONGITUDE
Brazil,BRA,-10,-55
Burundi,BDI,-3.5,30
China,CHN,35,105
Colombia,COL,4,-72
Costa Rica,CRI,10,-84
Cote d'Ivoire,CIV,8,-5
Ecuador,ECU,-2,-77.5
El Salvador,SLV,13.8333,-88.9167
Ethiopia,ETH,8,38
Guatemala,GTM,15.5,-90.25
Haiti,HTI,19,-72.4167
Honduras,HND,15,-86.5
India,IND,20,77
Indonesia,IDN,-5,120
Japan,JPN,36,138
Kenya,KEN,1,38
Laos,LAO,18,105
Malawi,MWI,-13.5,34
Mauritius,MUS,-20.2833,57.55
Mexico,MEX,23,-102
Myanmar,MMR,22,98
Nicaragua,NIC,13,-85
Panama,PAN,9,-80
Papua New Guinea,PNG,-6,147
Peru,PER,-10,-76
Philippines,PHL,13,122
Rwanda,RWA,-2,30
Taiwan,TWN,23.5,121
Tanzania,TZA,-6,35
Thailand,THA,15,100
Uganda,UGA,1,32
United States,USA,38,-97
Vietnam,VNM,16,106
Zambia,ZMB,-15,30
